,carbon_price,prod_price,carbon_rate,region,land_use,allocation
0,10,20,0.5,Tropics,Agriculture,100.00000100970765
1,10,20,0.5,Tropics,Forest,-9.832939611823885e-09
2,10,20,0.5,RoW,Agriculture,200.00000200970763
3,10,20,0.5,RoW,Forest,-9.832939687255743e-09
4,10,20,0.5,ALL,Welfare,6000.000060289976
5,10,20,1.0,Tropics,Agriculture,100.00000100962411
6,10,20,1.0,Tropics,Forest,-9.749409304587719e-09
7,10,20,1.0,RoW,Agriculture,200.0000020096241
8,10,20,1.0,RoW,Forest,-9.749409474309378e-09
9,10,20,1.0,ALL,Welfare,6000.0000601899765
10,10,20,2.0,Tropics,Agriculture,50.00000049993539
11,10,20,2.0,Tropics,Forest,50.00000049993932
12,10,20,2.0,RoW,Agriculture,100.00000100041125
13,10,20,2.0,RoW,Forest,100.00000099946347
14,10,20,2.0,ALL,Welfare,6000.000059994989
15,10,50,0.5,Tropics,Agriculture,100.00000100989419
16,10,50,0.5,Tropics,Forest,-9.94431323746659e-09
17,10,50,0.5,RoW,Agriculture,200.0000020098942
18,10,50,0.5,RoW,Forest,-9.944313245847948e-09
19,10,50,0.5,ALL,Welfare,15000.000150889975
20,10,50,1.0,Tropics,Agriculture,100.00000100988723
21,10,50,1.0,Tropics,Forest,-9.937352389792656e-09
22,10,50,1.0,RoW,Agriculture,200.00000200988723
23,10,50,1.0,RoW,Forest,-9.937352400400307e-09
24,10,50,1.0,ALL,Welfare,15000.000150789976
25,10,50,2.0,Tropics,Agriculture,100.00000100986635
26,10,50,2.0,Tropics,Forest,-9.916469843627837e-09
27,10,50,2.0,RoW,Agriculture,200.00000200986636
28,10,50,2.0,RoW,Forest,-9.916469862485887e-09
29,10,50,2.0,ALL,Welfare,15000.000150589976
30,10,80,0.5,Tropics,Agriculture,100.00000100993526
31,10,80,0.5,Tropics,Forest,-9.966587946503007e-09
32,10,80,0.5,RoW,Agriculture,200.00000200993526
33,10,80,0.5,RoW,Forest,-9.9665879495203e-09
34,10,80,0.5,ALL,Welfare,24000.000241489975
35,10,80,1.0,Tropics,Agriculture,100.00000100993287
36,10,80,1.0,Tropics,Forest,-9.964201370791393e-09
37,10,80,1.0,RoW,Agriculture,200.00000200993287
38,10,80,1.0,RoW,Forest,-9.964201374255119e-09
39,10,80,1.0,ALL,Welfare,24000.000241389975
40,10,80,2.0,Tropics,Agriculture,100.00000100992692
41,10,80,2.0,Tropics,Forest,-9.958234931242949e-09
42,10,80,2.0,RoW,Agriculture,200.0000020099269
43,10,80,2.0,RoW,Forest,-9.958234935957468e-09
44,10,80,2.0,ALL,Welfare,24000.000241189977
45,50,20,0.5,Tropics,Agriculture,-9.498817930285297e-09
46,50,20,0.5,Tropics,Forest,100.00000100939857
47,50,20,0.5,RoW,Agriculture,-9.498818609172993e-09
48,50,20,0.5,RoW,Forest,200.00000200939857
